code,theme,enabled,note,name_zh,market,official_industry,current_themes
1101,水泥建材 / 綜合,1,current classified theme,台泥,TWSE,水泥工業,水泥建材 / 綜合
1102,水泥建材 / 綜合,1,current classified theme,亞泥,TWSE,水泥工業,水泥建材 / 綜合
1103,水泥建材 / 綜合,1,current classified theme,嘉泥,TWSE,水泥工業,水泥建材 / 綜合
1104,水泥建材 / 綜合,1,current classified theme,環泥,TWSE,水泥工業,水泥建材 / 綜合
1108,水泥建材 / 綜合,1,current classified theme,幸福,TWSE,水泥工業,水泥建材 / 綜合
1109,水泥建材 / 綜合,1,current classified theme,信大,TWSE,水泥工業,水泥建材 / 綜合
1110,水泥建材 / 綜合,1,current classified theme,東泥,TWSE,水泥工業,水泥建材 / 綜合
1201,食品 / 飲料,1,theme singleton cleanup v3,味全,TWSE,食品工業,食品 / 飲料
1203,食品 / 飲料,1,theme singleton cleanup v3,味王,TWSE,食品工業,食品 / 飲料
1210,食品 / 飲料,1,theme singleton cleanup v3,大成,TWSE,食品工業,食品 / 飲料
1213,食品民生 / 綜合,1,current classified theme,大飲,TWSE,食品工業,食品民生 / 綜合
1215,食品 / 飲料,1,theme singleton cleanup v3,卜蜂,TWSE,食品工業,食品 / 飲料
1216,食品 / 飲料,1,theme singleton cleanup v3,統一,TWSE,食品工業,食品 / 飲料
1217,食品 / 飲料,1,theme singleton cleanup v3,愛之味,TWSE,食品工業,食品 / 飲料
1218,食品 / 飲料,1,theme singleton cleanup v3,泰山,TWSE,食品工業,食品 / 飲料
1219,食品民生 / 綜合,1,current classified theme,福壽,TWSE,食品工業,食品民生 / 綜合
1220,食品民生 / 綜合,1,current classified theme,台榮,TWSE,食品工業,食品民生 / 綜合
1225,食品民生 / 綜合,1,current classified theme,福懋油,TWSE,食品工業,食品民生 / 綜合
1227,食品 / 飲料,1,theme singleton cleanup v3,佳格,TWSE,食品工業,食品 / 飲料
1229,食品民生 / 綜合,1,current classified theme,聯華,TWSE,食品工業,食品民生 / 綜合
1231,食品民生 / 綜合,1,current classified theme,聯華食,TWSE,食品工業,食品民生 / 綜合
1232,食品民生 / 綜合,1,current classified theme,大統益,TWSE,食品工業,食品民生 / 綜合
1233,食品民生 / 綜合,1,current classified theme,天仁,TWSE,食品工業,食品民生 / 綜合
1234,食品 / 飲料,1,theme singleton cleanup v3,黑松,TWSE,食品工業,食品 / 飲料
1235,食品民生 / 綜合,1,current classified theme,興泰,TWSE,食品工業,食品民生 / 綜合
1236,食品民生 / 綜合,1,current classified theme,宏亞,TWSE,食品工業,食品民生 / 綜合
1240,農業科技 / 綜合,1,current classified theme,茂生農經,TPEx,農業科技,農業科技 / 綜合
1256,食品民生 / 綜合,1,current classified theme,鮮活果汁-KY,TWSE,食品工業,食品民生 / 綜合
1259,觀光餐旅 / 綜合,1,current classified theme,安心,TPEx,觀光餐旅,觀光餐旅 / 綜合
1264,食品民生 / 綜合,1,current classified theme,德麥,TPEx,食品工業,食品民生 / 綜合
1268,觀光餐旅 / 綜合,1,current classified theme,漢來美食,TPEx,觀光餐旅,觀光餐旅 / 綜合
1301,石化 / 塑化原料,1,theme refinement v2,台塑,TWSE,塑膠工業,石化 / 塑化原料
1303,石化 / 塑化原料,1,theme refinement v2,南亞,TWSE,塑膠工業,石化 / 塑化原料
1304,石化 / 塑化原料,1,theme refinement v2,台聚,TWSE,塑膠工業,石化 / 塑化原料
1305,石化 / 塑化原料,1,theme refinement v2,華夏,TWSE,塑膠工業,石化 / 塑化原料
1307,塑膠加工 / 包材,1,theme singleton cleanup v3,三芳,TWSE,塑膠工業,塑膠加工 / 包材
1308,石化 / 塑化原料,1,theme refinement v2,亞聚,TWSE,塑膠工業,石化 / 塑化原料
1309,石化 / 塑化原料,1,theme refinement v2,台達化,TWSE,塑膠工業,石化 / 塑化原料
1310,石化 / 塑化原料,1,theme refinement v2,台苯,TWSE,塑膠工業,石化 / 塑化原料
1312,石化 / 塑化原料,1,theme refinement v2,國喬,TWSE,塑膠工業,石化 / 塑化原料
1313,石化 / 塑化原料,1,theme refinement v2,聯成,TWSE,塑膠工業,石化 / 塑化原料
1314,石化 / 塑化原料,1,theme refinement v2,中石化,TWSE,塑膠工業,石化 / 塑化原料
1315,塑膠加工 / 包材,1,theme refinement v2,達新,TWSE,塑膠工業,塑膠加工 / 包材
1316,建材營造 / 綜合,1,current classified theme,上曜,TWSE,建材營造,建材營造 / 綜合
1319,汽車零組件 / 綜合,1,current classified theme,東陽,TWSE,汽車工業,汽車零組件 / 綜合
1321,塑膠加工 / 包材,1,theme refinement v2,大洋,TWSE,塑膠工業,塑膠加工 / 包材
1323,塑膠加工 / 包材,1,theme refinement v2,永裕,TWSE,塑膠工業,塑膠加工 / 包材
1324,塑膠加工 / 包材,1,theme refinement v2,地球,TWSE,塑膠工業,塑膠加工 / 包材
1325,塑膠加工 / 包材,1,theme refinement v2,恆大,TWSE,塑膠工業,塑膠加工 / 包材
1326,石化 / 塑化原料,1,theme refinement v2,台化,TWSE,塑膠工業,石化 / 塑化原料
1336,電子零組件 / 綜合,1,current classified theme,台翰,TPEx,電子零組件業,電子零組件 / 綜合
